date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2015-09-01,35.55,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-10-01,36.91,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-11-01,38.16,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-12-01,38.18,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-01-01,32.7,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-02-01,32.13,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-03-01,32.62,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-04-01,35.98,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-05-01,37.12,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-06-01,33.51,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-07-01,31.61,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-08-01,33.23,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-09-01,34.85,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-10-01,37.81,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-11-01,37.67,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2016-12-01,38.44,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2017-01-01,34.22,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2017-02-01,31.58,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2017-03-01,33.1,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
